"level","Overall","Low (<0.05)","Intermediate (0.05-0.20)","High (>0.20)","SMD"
"","     62","      7","    29","    26",""
"","  60.26 (12.37)","  57.14 (8.01)"," 61.90 (11.31)"," 59.27 (14.42)"," 0.290"
"Male","     19 (30.6) ","      2 ( 28.6) ","     6 (20.7) ","    11 (42.3) "," 0.317"
"Female","     43 (69.4) ","      5 ( 71.4) ","    23 (79.3) ","    15 (57.7) ",""
"T1/T2","      9 (14.5) ","      0 (  0.0) ","     7 (24.1) ","     2 ( 7.7) "," 0.614"
"T3","     42 (67.7) ","      5 ( 71.4) ","    19 (65.5) ","    18 (69.2) ",""
"T4","     11 (17.7) ","      2 ( 28.6) ","     3 (10.3) ","     6 (23.1) ",""
"","  15.00 [10.50, 21.75]","  34.00 [25.00, 39.00]"," 16.00 [15.00, 21.00]"," 14.00 [5.00, 15.00]"," 1.695"
"","   2.00 [1.00, 4.00]","   1.00 [1.00, 1.00]","  2.00 [1.00, 2.00]","  4.50 [4.00, 7.75]"," 1.323"
"","   0.13 [0.07, 0.46]","   0.04 [0.03, 0.04]","  0.11 [0.07, 0.13]","  0.53 [0.28, 1.00]"," 2.519"
"Low grade","     55 (88.7) ","      7 (100.0) ","    26 (89.7) ","    22 (84.6) "," 0.411"
"High grade","      7 (11.3) ","      0 (  0.0) ","     3 (10.3) ","     4 (15.4) ",""
"Absent","     33 (53.2) ","      5 ( 71.4) ","    16 (55.2) ","    12 (46.2) "," 0.352"
"Present","     29 (46.8) ","      2 ( 28.6) ","    13 (44.8) ","    14 (53.8) ",""
"Inadequate (<12)","     16 (25.8) ","      0 (  0.0) ","     6 (20.7) ","    10 (38.5) "," 0.746"
"Adequate (>=12)","     46 (74.2) ","      7 (100.0) ","    23 (79.3) ","    16 (61.5) ",""
"","1058.00 [336.25, 2514.75]","1131.00 [932.50, 1607.00]","948.00 [335.00, 2807.00]","992.00 [308.50, 2478.25]"," 0.221"
"0","     28 (45.2) ","      3 ( 42.9) ","    14 (48.3) ","    11 (42.3) "," 0.080"
"1","     34 (54.8) ","      4 ( 57.1) ","    15 (51.7) ","    15 (57.7) ",""
"0","     38 (61.3) ","      5 ( 71.4) ","    18 (62.1) ","    15 (57.7) "," 0.193"
"1","     24 (38.7) ","      2 ( 28.6) ","    11 (37.9) ","    11 (42.3) ",""
